_id,associatedMedia._id,associatedMedia.assetID,associatedMedia.category,associatedMedia.created,associatedMedia.creator,associatedMedia.identifier,associatedMedia.license,associatedMedia.mime,associatedMedia.modified,associatedMedia.rightsHolder,associatedMedia.title,associatedMedia.type,associatedMediaCount,barcode,basisOfRecord,bed,catalogNumber,catalogueDescription,chondriteAchondrite,chronostratigraphy,class,clutchSize,collectionCode,collectionKind,collectionName,commodity,continent,coordinateUncertaintyInMeters,country,created,currentScientificName,dateRegistered,day,decimalLatitude,decimalLongitude,depositType,determinationFiledAs,determinationNames,determinationTypes,donorName,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,expedition,exsiccata,exsiccataNumber,extractionMethod,family,fieldNumber,formation,gbifID,gbifIssue,genus,geodeticDatum,georeferenceProtocol,group,habitat,higherClassification,higherGeography,highestBiostratigraphicZone,identificationAsRegistered,identificationDescription,identificationOther,identificationQualifier,identificationVariety,identifiedBy,individualCount,infraspecificEpithet,institutionCode,island,islandGroup,kindOfCollection,kindOfObject,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lifeStage,lithostratigraphy,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,member,meteoriteClass,meteoriteGroup,meteoriteType,mine,mineralComplex,minimumDepthInMeters,minimumElevationInMeters,modified,month,observedWeight,occurrence,occurrenceID,occurrenceStatus,order,otherCatalogNumbers,partType,petrologySubtype,petrologyType,phylum,plantDescription,populationCode,preparations,preparationType,preservative,project,recordedBy,recordNumber,recovery,recoveryDate,recoveryWeight,registeredWeightUnit,registrationCode,resuspendedIn,samplingProtocol,scientificName,scientificNameAuthorship,setMark,sex,specificEpithet,stateProvince,subDepartment,subfamily,subgenus,suborder,superfamily,taxonRank,texture,totalVolume,typeStatus,verbatimLatitude,verbatimLongitude,vessel,waterBody,year
8780402,2670435 | 2671240,8245d2c3-a71a-4662-85dd-d9f5902e17b1 | ccb781fb-e7b3-47a6-9c7e-dd250de5eb7c,Specimen | Specimen,1556186375000 | 1556189049000,,https://data.nhm.ac.uk/media/8245d2c3-a71a-4662-85dd-d9f5902e17b1 | https://data.nhm.ac.uk/media/ccb781fb-e7b3-47a6-9c7e-dd250de5eb7c,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1558106738000 | 1558106741000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",013377020_Dalla_superargentea_Viloria A Warren & Austin_2008_PT | 013377020_Dalla_superargentea_Viloria A Warren & Austin_2008_PT_1,StillImage | StillImage,2,013377020,PreservedSpecimen,,NHMUK013377020,,,,Insecta,,BMNH(E),,,,South America,538.729524,Venezuela,1552998408000,,,,,,,,"Dalla superargentea Viloria et al., 2008",,,,,,,,,,,,Hesperiidae,,,,,Dalla,,,,,Insecta; Lepidoptera; Papilionoidea; Hesperiidae; Hesperiinae,South America; Venezuela,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,1612055624000,,,,3ca5cee1-7618-49ce-bde2-2d102799e4b0,present,Lepidoptera,NHMUK:ecatalogue:8780402,,,,,,,,,Dry - pinned,Papilionoidea New Types Digitisation Project,,,,,,,,,,"Dalla superargentea Viloria et al., 2008","Viloria et al., 2008",,,superargentea,,Lepidoptera,,,,,,,,PARATYPE,,,,,
8780404,2670369 | 2671504,a495b198-c8e3-461f-9f8f-bb49690d5ba6 | 4181a42e-bbcf-4ca0-9eaa-1113461ac1d2,Specimen | Specimen,1556186197000 | 1556189852000,,https://data.nhm.ac.uk/media/a495b198-c8e3-461f-9f8f-bb49690d5ba6 | https://data.nhm.ac.uk/media/4181a42e-bbcf-4ca0-9eaa-1113461ac1d2,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1558106741000 | 1558106713000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",013377022_Dalla_superargentea_Viloria A Warren & Austin_2008_PT | 013377022_Dalla_superargentea_Viloria A Warren & Austin_2008_PT_1,StillImage | StillImage,2,013377022,PreservedSpecimen,,NHMUK013377022,,,,Insecta,,BMNH(E),,,,South America,538.729524,Venezuela,1552998411000,,,,,,,,"Dalla superargentea Viloria et al., 2008",,,,,,,,,,,,Hesperiidae,,,,,Dalla,,,,,Insecta; Lepidoptera; Papilionoidea; Hesperiidae; Hesperiinae,South America; Venezuela,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,1612055624000,,,,d482fa39-4b4d-4345-807f-04517b4e5bf2,present,Lepidoptera,NHMUK:ecatalogue:8780404,,,,,,,,,Dry - pinned,Papilionoidea New Types Digitisation Project,,,,,,,,,,"Dalla superargentea Viloria et al., 2008","Viloria et al., 2008",,,superargentea,,Lepidoptera,,,,,,,,PARATYPE,,,,,
8780085,2669829 | 2671975,ee3cbbda-66e5-4f03-a2e3-20e064d6e287 | 511f4982-6ce4-4c6c-b028-e5a2f1f86408,Specimen | Specimen,1556184570000 | 1556191314000,,https://data.nhm.ac.uk/media/ee3cbbda-66e5-4f03-a2e3-20e064d6e287 | https://data.nhm.ac.uk/media/511f4982-6ce4-4c6c-b028-e5a2f1f86408,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1590008405000 | 1589809317000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",012824380_Nacaduba_niueensis_Lachlan_2012_PT | 012824380_Nacaduba_niueensis_Lachlan_2012_PT_1,StillImage | StillImage,2,012824380,PreservedSpecimen,,NHMUK012824380,,,,Insecta,,BMNH(E),,,,Oceania,8.527188585,Niue,1552997867000,,,,,,,,"Nacaduba niueensis Lachlan, 2012",,Mr John Tennent,,,,,,,,,,Lycaenidae,,,,,Nacaduba,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Oceania; Niue,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,1612055756000,,,,59e95487-8fd6-4562-be68-c5d13002895e,present,Lepidoptera,NHMUK:ecatalogue:8780085,,,,,,,,,Dry - pinned,Papilionoidea New Types Digitisation Project,,,,,,,,,,"Nacaduba niueensis Lachlan, 2012","Lachlan, 2012",,,niueensis,,Lepidoptera,,,,,,,,PARATYPE,,,,,
8780110,2670307 | 2671895,f8fadf03-a4bc-475a-83dc-dbf2c83448e8 | 1e134e41-fb32-4083-ae9a-79a6dceab464,Specimen | Specimen,1556186034000 | 1556191052000,,https://data.nhm.ac.uk/media/f8fadf03-a4bc-475a-83dc-dbf2c83448e8 | https://data.nhm.ac.uk/media/1e134e41-fb32-4083-ae9a-79a6dceab464,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1558106729000 | 1558106718000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",010430532_Deudorix_democles_crichtoni_Tennent & Rawlins_2010_PT | 010430532_Deudorix_democles_crichtoni_Tennent & Rawlins_2010_PT_1,StillImage | StillImage,2,010430532,PreservedSpecimen,,BMNH(E)808136,,,,Insecta,,BMNH(E),,,,Asia,775.5198161,Indonesia,1552997917000,,,,,,,,"Deudorix democles crichtoni Tennent & Rawlins, 2010",,Mr John Tennent,,,,,,,,,,Lycaenidae,,,,,Deudorix,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Theclinae,Asia; Indonesia,,,,,,,,,crichtoni,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,1612049484000,,,,57c860f3-2047-4482-ae41-10c2d59ed6d8,present,Lepidoptera,NHMUK:ecatalogue:8780110,,,,,,,,,Dry - pinned,Papilionoidea New Types Digitisation Project,,,,,,,,,,"Deudorix democles crichtoni Tennent & Rawlins, 2010","Tennent & Rawlins, 2010",,,democles,,Lepidoptera,,,,,,,,PARATYPE,,,,,
8780327,2670264 | 2672018,aa38c969-60b2-4cc0-b5a4-62dc73bb6621 | 163fa5a3-96ad-498a-a281-c2db435f3759,Specimen | Specimen,1556185921000 | 1556191453000,,https://data.nhm.ac.uk/media/aa38c969-60b2-4cc0-b5a4-62dc73bb6621 | https://data.nhm.ac.uk/media/163fa5a3-96ad-498a-a281-c2db435f3759,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1558106717000 | 1558106740000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",013376662_Tajuria_cyrillus_roberti_Tennent & Rawlins_2010_HT | 013376662_Tajuria_cyrillus_roberti_Tennent & Rawlins_2010_HT_1,StillImage | StillImage,2,013376662,PreservedSpecimen,,BMNH(E)808133,,,,Insecta,,BMNH(E),,,,Asia,775.5198161,Indonesia,1552998280000,,,,,,,,"Tajuria cyrillus roberti Tennent & Rawlins, 2010",,Mr John Tennent,,,,,,,,,,Lycaenidae,,,,,Tajuria,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Theclinae,Asia; Indonesia,,,,,,,,,roberti,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,1612049486000,,,,812efdde-7101-4ebb-988c-408bad3c0012,present,Lepidoptera,NHMUK:ecatalogue:8780327,,,,,,,,,Dry - pinned,Papilionoidea New Types Digitisation Project,,,,,,,,,,"Tajuria cyrillus roberti Tennent & Rawlins, 2010","Tennent & Rawlins, 2010",,,cyrillus,,Lepidoptera,,,,,,,,HOLOTYPE,,,,,
8780094,2670402 | 2671962,644160a2-7dc0-412e-82a2-2c8a118c0f38 | e7b92b9c-b7de-4f83-b80d-15d01cfe17e1,Specimen | Specimen,1556186286000 | 1556191273000,,https://data.nhm.ac.uk/media/644160a2-7dc0-412e-82a2-2c8a118c0f38 | https://data.nhm.ac.uk/media/e7b92b9c-b7de-4f83-b80d-15d01cfe17e1,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1558106730000 | 1558106735000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",012824377_Udara_renevieri_Braby & Muller_2013_PT | 012824377_Udara_renevieri_Braby & Muller_2013_PT_1,StillImage | StillImage,2,012824377,PreservedSpecimen,,NHMUK012824377,,,,Insecta,,BMNH(E),,,,Oceania,77.45714702,New Caledonia,1552997881000,,,,,,,,"Udara renevieri Braby & Müller, 2013",,Dr Michael F. Braby,,,,,,,,,,Lycaenidae,,,,,Udara,,,,,Insecta; Lepidoptera; Lycaenidae,Oceania; New Caledonia,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,1612055592000,,,,1c7d9931-01c1-468e-b762-91adf3d42657,present,Lepidoptera,NHMUK:ecatalogue:8780094,,,,,,,,,Dry - pinned,Papilionoidea New Types Digitisation Project,,,,,,,,,,"Udara renevieri Braby & Müller, 2013","Braby & Müller, 2013",,,renevieri,,Lepidoptera,,,,,,,,PARATYPE,,,,,
8844982,2776691 | 2776891,25bf1938-00f3-484d-9228-6972d1596269 | b0ad0638-d18e-482b-bd71-dcaa7908e3ae,Specimen | Specimen,1561732268000 | 1561733134000,,https://data.nhm.ac.uk/media/25bf1938-00f3-484d-9228-6972d1596269 | https://data.nhm.ac.uk/media/b0ad0638-d18e-482b-bd71-dcaa7908e3ae,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1562274059000 | 1562274070000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",013377003_Spialia_phlomidis_Higgins_1974_PT_1 | 013377003_Spialia_phlomidis_Higgins_1974_PT,StillImage | StillImage,2,013377003,PreservedSpecimen,,NHMUK013377003,,,,Insecta,,BMNH(E),,,,,,,1557822805000,,,,,,,,"Spialia phlomidis kiki Higgins, 1974",,Dr Torben B. Larsen,,,,,,,,,,Hesperiidae,,,,,Spialia,,,,,Insecta; Lepidoptera; Hesperioidea; Hesperiidae; Pyrginae,,,,,,,,,,kiki,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,1612044384000,,,,cec6a7fa-d6bd-4234-b444-c6560e06e6e1,present,Lepidoptera,NHMUK:ecatalogue:8844982,,,,,,,,,Dry - pinned,Papilionoidea New Types Digitisation Project,,,,,,,,,,"Spialia phlomidis kiki Higgins, 1974","Higgins, 1974",,,phlomidis,,Lepidoptera,,,,,,,,PARATYPE,,,,,
8780073,2669600 | 2671402,16f1f0b0-480e-409d-96ec-97201084cf27 | 8ae96a46-e2ca-4704-b52c-aa481805cc4c,Specimen | Specimen,1556183861000 | 1556189552000,,https://data.nhm.ac.uk/media/16f1f0b0-480e-409d-96ec-97201084cf27 | https://data.nhm.ac.uk/media/8ae96a46-e2ca-4704-b52c-aa481805cc4c,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1558106716000 | 1558106739000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",013376871_Hypolycaena_danis_jacobyi_Tennent_2016_HT | 013376871_Hypolycaena_danis_jacobyi_Tennent_2016_HT_1,StillImage | StillImage,2,013376871,PreservedSpecimen,,NHMUK013376871,,,,Insecta,,BMNH(E),,,,Asia,384.1100852,Papua New Guinea,1552997847000,,,,,,,,"Hypolycaena danis jacobyi Tennent, 2016",,Mr John Tennent,,,,,,,,,,Lycaenidae,,,,,Hypolycaena,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Papua New Guinea,,,,,,,,,jacobyi,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,1612049476000,,,,b7cc896d-ff20-446e-a918-0040c87d476a,present,Lepidoptera,NHMUK:ecatalogue:8780073,,,,,,,,,Dry - pinned,Papilionoidea New Types Digitisation Project,,,,,,,,,,"Hypolycaena danis jacobyi Tennent, 2016","Tennent, 2016",,,danis,,Lepidoptera,,,,,,,,HOLOTYPE,,,,,
8780081,2669461 | 2671987,ce3e44a3-24de-412e-bb5a-a83d22fdb4cc | 7b6cca60-ba4d-436a-bac2-91de208d62b1,Specimen | Specimen,1556183433000 | 1556191355000,,https://data.nhm.ac.uk/media/ce3e44a3-24de-412e-bb5a-a83d22fdb4cc | https://data.nhm.ac.uk/media/7b6cca60-ba4d-436a-bac2-91de208d62b1,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1558106735000 | 1558106721000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",013376658_Lepidochrysops_forsskali_Larsen_1982_PT | 013376658_Lepidochrysops_forsskali_Larsen_1982_PT_1,StillImage | StillImage,2,013376658,PreservedSpecimen,,NHMUK013376658,,,,Insecta,,BMNH(E),,,,Asia,379.4394039,Yemen,1552997860000,,,,,,,,"Lepidochrysops forsskali Larsen, 1982",,T Larsen,,,,,,,,,,Lycaenidae,,,,,Lepidochrysops,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Lycaeninae,Asia; Yemen,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,1612049486000,,,,b9f11db4-4957-43f0-ac7a-f3af50a4cdee,present,Lepidoptera,NHMUK:ecatalogue:8780081,,,,,,,,,Dry - pinned,Papilionoidea New Types Digitisation Project,,,,,,,,,,"Lepidochrysops forsskali Larsen, 1982","Larsen, 1982",,,forsskali,,Lepidoptera,,,,,,,,PARATYPE,,,,,
8780075,2670091 | 2671158,fb5d732c-cd04-4015-8141-cd0eececfda1 | 7ebcefd0-9dc3-4c77-8613-0f1bf80138f2,Specimen | Specimen,1556185383000 | 1556188799000,,https://data.nhm.ac.uk/media/fb5d732c-cd04-4015-8141-cd0eececfda1 | https://data.nhm.ac.uk/media/7ebcefd0-9dc3-4c77-8613-0f1bf80138f2,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,jpeg | jpeg,1558106717000 | 1558106715000,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",013376872_Hypolycaena_danis_jacobyi_Tennent_2016_PT | 013376872_Hypolycaena_danis_jacobyi_Tennent_2016_PT_1,StillImage | StillImage,2,013376872,PreservedSpecimen,,NHMUK013376872,,,,Insecta,,BMNH(E),,,,Asia,384.1100852,Papua New Guinea,1552997850000,,,,,,,,"Hypolycaena danis jacobyi Tennent, 2016",,Mr John Tennent,,,,,,,,,,Lycaenidae,,,,,Hypolycaena,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Papua New Guinea,,,,,,,,,jacobyi,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,1612049169000,,,,77066dd9-5131-4caf-a791-f4c8cce4bf2a,present,Lepidoptera,NHMUK:ecatalogue:8780075,,,,,,,,,Dry - pinned,Papilionoidea New Types Digitisation Project,,,,,,,,,,"Hypolycaena danis jacobyi Tennent, 2016","Tennent, 2016",,,danis,,Lepidoptera,,,,,,,,PARATYPE,,,,,
